14945853-2, 15VuK89m7rsaYWw7mbWZgU4JyrRdxVbWYDPvA8go3eboWvYz, 0x95201c7668eb5224a9c70b8b96b13e47a6b4a1af9b9645e0adeec41fd71152c4, 14945853, 8.96131, 2000, 2023-04-05 01:34:54, xcmpallet, reserve_transfer_assets
14945817-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0x713438d24e7b66eb3ada3be831ab1b86ee04ac1126ddb1964feedd963290ec2f, 14945817, 85.14746, 2012, 2023-04-05 01:31:18, xcmpallet, reserve_transfer_assets
14945516-2, 1C1ja58DsrzPgt1GP1Z2YRM2k3SACkEtC57acjDihpx1LcW, 0xe3e75a72c92bf1faa99cfb2a6636a3e7719a357a972392513468437d56a944d0, 14945516, 65.98124, 2012, 2023-04-05 01:01:06, xcmpallet, reserve_transfer_assets
14945502-3, 11xGP6p2X45XQKKkLaDfv4kTTaJGpNmNeeEMjvd51JBkEBp, 0x4531d61c3a2d31673ff39b70d06e923961a0755b17aa0e99e0f300f6ebe337a2, 14945502, 30.0, 2000, 2023-04-05 00:59:42, xcmpallet, reserve_transfer_assets
14945217-2, 1YvEN9mZWCDJ2Atp6cMjJc54NoThr2QqsV9QnRfpeSVECS9, 0x1b504da8a1b882c7fe6ea1b4e483de9a3e5d1f439cddb10ccf4a7eaaf1c619e4, 14945217, 375.0, 2000, 2023-04-05 00:31:12, xcmpallet, reserve_transfer_assets
14945214-5, 129ehC5HyRUnvokntBi7euAmnaey9djKEEGNiDP53wijZfPW, 0xabf89dfb63c64f7c5d023cccf7f484a37474ad4ef0dd32f38f552c0db0285fb8, 14945214, 1.0, 2012, 2023-04-05 00:30:54, xcmpallet, reserve_transfer_assets
14945204-2, 14BaKRF2Vg6ciy79wWLTxJkJsqG6Dq7WvKaZ1Pr3rAwrMQ7Z, 0x80400d1a1c8e1877592e232e854dd661ace2466625f20db6dc92f8ff60bff6af, 14945204, 133.5, 2012, 2023-04-05 00:29:54, xcmpallet, reserve_transfer_assets
14945198-4, 145tLLNG3nq51kvxmKRcqdx8DaD19VtP7i6upjdMDSTimwVt, 0x2f666e2a6fef5c336892bfa9e45adde2a5da22af639380192500df5f6d23a178, 14945198, 11.0, 2000, 2023-04-05 00:29:18, xcmpallet, reserve_transfer_assets
14945156-2, 13MsTGXdAMUK6mEcxYv7xLfuo9ZXHb9Y1nCmTvtbmqF19bhw, 0x2a3e6aa8fdfb0206447c689e612767f0f195a4317a3370d0cec23721bf58a370, 14945156, 10.07191, 2012, 2023-04-05 00:25:06, xcmpallet, reserve_transfer_assets
14945119-2, 12xTvdsxPMao8DXfrfRo62fyrZ8XFGAT7xoWBFMC3Jap3Jyg, 0xd56204b7a1f6545427a477cc8b10f82671971e3df8cd75787a2febaacf1d8894, 14945119, 1.00081, 2030, 2023-04-05 00:21:24, xcmpallet, reserve_transfer_assets
14945109-2, 12myuCSDCj8p7NYe8mA3zdnG1f5kk44SbYQS4PU2cZmwn6Qc, 0xb79f370bad8f636210b43bf79ff584fbe8c9b0cadaa6b2c2ea44c2f4d363f837, 14945109, 2840.0, 2000, 2023-04-05 00:20:24, xcmpallet, reserve_transfer_assets
14944931-3, 133opKX6qKk7RJDgcnHG6JFgdhCMhGp7K1djjsZagHeFQjvt, 0xd00d1c05ff05f50bc6582b0a5d09a4bf674ba9f81974673927c24e490610e9fd, 14944931, 5.44838, 2011, 2023-04-05 00:02:36, xcmpallet, reserve_transfer_assets
14944911-4, 1jnZQnSS3BL5EJQ3ep53i5WyMEqDFmf1aHq7VoccjfhSmRf, 0x3fd7d0315528df9ed588e40cb939a985d95640373a9432e8bf0aee6ceabc6b9a, 14944911, 0.09893, 2006, 2023-04-05 00:00:36, xcmpallet, reserve_transfer_assets
14944810-3, 167USRJSZUPQpjZNJi37GH1VtmJTwfQ4DND18jL9J91yQyx8, 0x82c15a8cf2cd5d129cade578cad56e474e71cdf54b3f2a996f4d2d69da6ace07, 14944810, 3.31667, 2012, 2023-04-04 23:50:30, xcmpallet, reserve_transfer_assets
14944794-3, 1C1ja58DsrzPgt1GP1Z2YRM2k3SACkEtC57acjDihpx1LcW, 0x2a29c9fef53869df7b938efb1ab7b5b32479fefe0e962b3bc50ea6427e0e56e8, 14944794, 99.98111, 2012, 2023-04-04 23:48:54, xcmpallet, reserve_transfer_assets
14944350-2, 13WF7zcJHai2UkCeMGNcQLxjoYzcKA3PSwPLZpHKyxYR4aLw, 0x532beaca7e652020a22d22c8323a523943f848bf59c9dd5c8264dc16e4042d86, 14944350, 84.67, 2000, 2023-04-04 23:04:30, xcmpallet, reserve_transfer_assets
