14903996-4, 15zArxAvuPx8JJoCART7z9YGcy2Qdtt8W5euazXHWnSQjprc, 0xb3b660381c49d1c45f7112ed16bf82794d2dd42fe83863084ca08df9249a6b38, 14903996, 26.25017, 2000, 2023-04-02 03:48:06, xcmpallet, reserve_transfer_assets
14903846-2, 12uDuRYWydpeYKFFvbFjM22knSgkVYbTxazSXj6q7H7uHKMx, 0x4fd9ca666d0c3ecc6aacee53de06b5f2ec05032b427aff48cb426de7fccaadfe, 14903846, 42.58962, 2012, 2023-04-02 03:33:06, xcmpallet, reserve_transfer_assets
14903482-2, 1xe9DEWzxR1KNpPJhEhq1fcBZENSzfVsyc2mXvyV8j4Q1cu, 0x16f7acd4730dc5866f738ea59ef97e92410c2178db1404acdc932b0a51ea67e7, 14903482, 9.00081, 2030, 2023-04-02 02:56:42, xcmpallet, reserve_transfer_assets
14903393-2, 12rZxdLmQh1VdTGS4ZCU7Bz3auLTK1Q4vWLnCijiv3kqKPY4, 0xf8d7613d756daaf7483330443b911b4bec780fed0c98c6cab762bf4ce3611435, 14903393, 227.4, 2000, 2023-04-02 02:47:48, xcmpallet, reserve_transfer_assets
14903309-2, 14oaiu2SvHkbciQiJXufN7kceATVwgS9kmHaeTQHeYH2Ayaj, 0xb842e4e8690a22194dc920def878ed2e5ea41169ac708dc4ed85affaac7c7ae4, 14903309, 7.0, 2012, 2023-04-02 02:39:24, xcmpallet, reserve_transfer_assets
14902915-2, 16aZXhVgWpp6uVuwYYkPakd26ECiqCzFCQ76j6d9DPDB2kEs, 0xc13296ffdf87ef2cb5acdb957f6960904fde46f1f46fb4b8e0fe7b2b05f251bf, 14902915, 8.44422, 2000, 2023-04-02 02:00:00, xcmpallet, reserve_transfer_assets
14902766-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0xf1e27f6458fc7d47b9c5f9b1bf23ef155d6b8d4004306ac7fa55d74fd35cd342, 14902766, 84.38816, 2012, 2023-04-02 01:45:06, xcmpallet, reserve_transfer_assets
14902752-5, 162KUJisQk3H3fNLpNM1J4sJ5m2UawH2WhnPx4ewcQizdVH5, 0x7a8a980c38d616146e4ddb83e79cdb182ed6d8002302c8e5b241de92e226b3ea, 14902752, 77.0, 2012, 2023-04-02 01:43:42, xcmpallet, reserve_transfer_assets
14902470-3, 15YHF2rTGSEqYGpWSReAJz4NtdHC5wS7qqw3wWXHr8z54nKg, 0xfb199c68b3efac2fe3c52b48cf72e990709a83f85dafc7506d36837bd2fb5737, 14902470, 62.0, 2012, 2023-04-02 01:15:30, xcmpallet, reserve_transfer_assets
14902344-2, 1ntKD3bZh44egqS1HpgF9Lbv7tcPSvToYNdTZ9zorpdeXAw, 0xc0fbe7813f4adb81e4028310d3c14e91563913033ee1a537e81d83043d92bb74, 14902344, 50.00081, 2030, 2023-04-02 01:02:54, xcmpallet, reserve_transfer_assets
14902319-2, 14oaiu2SvHkbciQiJXufN7kceATVwgS9kmHaeTQHeYH2Ayaj, 0xc091fee3fe71cf3b1f312ce5398957cbd74286af2049e7985b0af74d58d39477, 14902319, 30.0, 2000, 2023-04-02 01:00:24, xcmpallet, reserve_transfer_assets
14902316-5, 1539kzyCnheP1sQSyrYk2DoYWrvZnSDzSQqKS7xg1oabueiC, 0x76496b72af6b44f01d940bcea1b8a0577d3fd32f629667de1d6f293838321634, 14902316, 50.85896, 2012, 2023-04-02 01:00:06, xcmpallet, reserve_transfer_assets
14902111-2, 16AVVDYxmNEy1trYSDA6qh3u9vWcbmR92vjmSuRnQML2j77p, 0xe83a7782f8db8ffc4cf972d09b56a214291e1932aaeef796c20ec04b3e54b18a, 14902111, 4.27, 2012, 2023-04-02 00:39:36, xcmpallet, reserve_transfer_assets
14901822-2, 1jnZQnSS3BL5EJQ3ep53i5WyMEqDFmf1aHq7VoccjfhSmRf, 0x141d17254aa1747f3d8f61cf0ca360b69854d948d5a8e587732404fbb62636dc, 14901822, 0.0733, 2006, 2023-04-02 00:10:36, xcmpallet, reserve_transfer_assets
14901708-2, 16PQda4NYnskNTtMsGecoh15jQXzZhMboMkp3UUVz8vmyfma, 0xb2ba2665d761d3852a91656a8f6f2d21633e7ec5576530fa20fc11a74a2e8ef8, 14901708, 2.50081, 2030, 2023-04-01 23:59:12, xcmpallet, reserve_transfer_assets
14901601-2, 14ML3x7wFEMYxraMuuYABWBDm41NfxJZ5B6FhPHTj7XEikFT, 0x5995ecdba587541c4ac8b184b52fd0e367b7eb060b5554dbbba9cdf40ca29628, 14901601, 4.0, 2006, 2023-04-01 23:48:30, xcmpallet, reserve_transfer_assets
14901447-3, 14MDTfBcp3ST1FBSL9m4MbqvHUuUQym6fMPgvPt4ABmxPJam, 0xd78904efa4e2711a9b6724f75a6a8563bc7060b17b93b9c3c236a31bed99a3fb, 14901447, 41.00081, 2030, 2023-04-01 23:33:06, xcmpallet, reserve_transfer_assets
14901388-2, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0xccfbb018e07c11de660ad3749cc6b0ee9eb19d346f1d1dcd944aed020b8cf6e4, 14901388, 100.0, 2000, 2023-04-01 23:27:12, xcmpallet, reserve_transfer_assets
14901386-3, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0xf1ced5684df9f5a952c09e0c81a5900f256da4600dc3206608d2529360d9bd76, 14901386, 100.0, 2000, 2023-04-01 23:27:00, xcmpallet, reserve_transfer_assets
14901348-2, 133YWnfGmUuZ6xo85c62Kb6pZmZ3u21fzVCdhRkhXyBAmdk6, 0xf822cf6034b89cba3dd7c7334e9d29b254291b98219d7ce2ab3eabfd2833adce, 14901348, 70.00081, 2030, 2023-04-01 23:23:12, xcmpallet, reserve_transfer_assets
14901347-4, 1212nwA54vvW95NxZLUsHPUkPa8YiPHt6pQg7nhrDkoa7xv2, 0xb9c966259b9fb8faa73f63d054c3da20684b7c8a0544b7b2ab9e070621a13602, 14901347, 101.86483, 2000, 2023-04-01 23:23:06, xcmpallet, reserve_transfer_assets
14901257-3, 1HduWDUwjLSH4v1A5e44RNrNTXK6R87LgaCGUSzeScpgy1Q, 0x74e97181e76c583ae091e37fd441f1df21076476e9e224122c4109e73853abbb, 14901257, 478.0, 2000, 2023-04-01 23:14:06, xcmpallet, reserve_transfer_assets
14901215-2, 16Dn7qtqEULrTBD4PdjGUKggSyGvo4S8hWvSwCKVV4ku4uhp, 0x0fa480f7829a12737f753fd9ef48dc5ff8dfb314ec78ae1e5cc5da49cb601a42, 14901215, 3.08845, 2000, 2023-04-01 23:09:54, xcmpallet, reserve_transfer_assets
14901075-2, 124T78agHCwWAUwkKVmP1RRfSC86GTyAF5xqBs6oUiTBTCXn, 0xc6834cc9b4e48aac035bf394e73681463d7e18c364453c446a7950f4e56327f2, 14901075, 185.42904, 2000, 2023-04-01 22:55:54, xcmpallet, reserve_transfer_assets
14901071-4, 13L2cxdPSHTAgEvites3RCUkdnymoq3ihwnRuTqZE8QAvYrL, 0xdd05b2d418f81eaf92140283d8b7d0067adf4ad75b35fc6a57a7d7ff9c696db9, 14901071, 116.2176, 2012, 2023-04-01 22:55:30, xcmpallet, reserve_transfer_assets
14901067-2, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0xfbad822cec2435ff487125b07928563bd39cf5dbaaff957d651e61f069065ac4, 14901067, 100.0, 2000, 2023-04-01 22:55:06, xcmpallet, reserve_transfer_assets
14901065-2, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0xadcc1bc36c902ca20cb9ae757ed8c51ba2fba0d72c0563d8d08743815e54136b, 14901065, 100.0, 2000, 2023-04-01 22:54:54, xcmpallet, reserve_transfer_assets
14900781-4, 13gJZYwFFgNPhmcXnFR4MejTxp7Ed4dgKy2KLJCpKt3vMwcp, 0xab7a888b7e6bf04538ee2c1219aeb73c9c09dd8993f4ac7712835e83c5365d0d, 14900781, 304.0, 2012, 2023-04-01 22:26:30, xcmpallet, reserve_transfer_assets
14900601-3, 12s9rzKgiHeSNXcMycxM1cxr8bE6U2HjSmAU8SLAbyXtjegb, 0xa4203f668556f72ffc5063fbd1aaebfebce140cc8b07f2784912bf923231e7ef, 14900601, 3.44582, 2012, 2023-04-01 22:08:30, xcmpallet, reserve_transfer_assets
14900592-2, 12bHx9ozWnN3yFJptn978AkgheQm2xyCA76HowFj75HRGSEo, 0xe8ed95f2411c09e680053b44b95b5f5b28fd5aaf572089da07fe567598ea90d3, 14900592, 1.00081, 2030, 2023-04-01 22:07:36, xcmpallet, reserve_transfer_assets
14900362-3, 146k7QxPJw8Yd5svdwsFFLvRgqmV8J7p5zDxyfGzAeP3SJv, 0x2b020bc65c54010a6be0916813f8b8c4311b6b2a9ff727209e47b32f04111275, 14900362, 95.00081, 2030, 2023-04-01 21:44:36, xcmpallet, reserve_transfer_assets
14900361-2, 12sTb9wBDspsev7Mzudn4JUscvwnByJL9K39PC9wRVzQS6qu, 0x7d1dfd392698a156d4bc0cf83b0a243ec60a9b352f4d0ae4e5eab08c8966b34d, 14900361, 5.0, 2006, 2023-04-01 21:44:30, xcmpallet, reserve_transfer_assets
14900345-4, 13gJZYwFFgNPhmcXnFR4MejTxp7Ed4dgKy2KLJCpKt3vMwcp, 0xe2bba9a53d659a9a8508cd385d5c6594c875970d4bcf27485d05587f3c05af64, 14900345, 0.2, 2012, 2023-04-01 21:42:54, xcmpallet, reserve_transfer_assets
14900211-4, 12CSFsg2Aibwv6jhLUbfwuwok7724jVRskJy3qNU6zcXQMhx, 0x2c935496f0554b43cec2b55980e8810b4ea7f84fa5a803e341aca72964b2632d, 14900211, 7.00081, 2030, 2023-04-01 21:29:30, xcmpallet, reserve_transfer_assets
14899515-2, 13xRNh3X1L8V5Upz2obQwJaa4dki3CUUKnmYYK4W55YFpNfh, 0xc64e702b104a1456d90a37898d68ad1029f7c26dcff96abd05c3b3d53731ab73, 14899515, 1.7, 2006, 2023-04-01 20:19:54, xcmpallet, reserve_transfer_assets
14899046-2, 162KUJisQk3H3fNLpNM1J4sJ5m2UawH2WhnPx4ewcQizdVH5, 0x03ab4d1eef68ea48255f6f977a408b3290470fd2d7a8d7b9e77ebcf01655067c, 14899046, 3.75, 2012, 2023-04-01 19:33:00, xcmpallet, reserve_transfer_assets
14898594-2, 16X1mreXTMjyoXqSDqXKPwBi8Ewk9ArndR4aW2VfTSvVy9AM, 0x2facd6ea5f3537a8d58ed8dfe48ff9f84c280c70e32992e25eb2d370fbbd90da, 14898594, 67.5, 2000, 2023-04-01 18:47:48, xcmpallet, reserve_transfer_assets
14898569-3, 16X1mreXTMjyoXqSDqXKPwBi8Ewk9ArndR4aW2VfTSvVy9AM, 0x858f87f061b111435d230be75ad23fa228a5237c14067a3fbdc6aa5fb3f2f2a9, 14898569, 2.0, 2000, 2023-04-01 18:45:18, xcmpallet, reserve_transfer_assets
14898494-2, 16DjB6Kdj5wzdsRaVXRBGhoPc5xEsDA1nvs4VdEdhTWFU5g6, 0x7233ad78f2a7b4703c7c529a43bd239cdbb52f61d95e644ddde59fd0a9e50254, 14898494, 246.26782, 2011, 2023-04-01 18:37:48, xcmpallet, reserve_transfer_assets
14898239-2, 13p2ZHjTa4LC2CJVojuyQjbTACKxVHdqX3ijKLMxRyS6z8xB, 0x694686def9790c326f449daf4c93eccaa9401100daf93cbb0ea7e4b9e0d48248, 14898239, 263.0, 2012, 2023-04-01 18:12:18, xcmpallet, reserve_transfer_assets
14898237-3, 14uT2c7P6FPcq8CGTpz1Phaa9jQTP4vZEGs45rMhv9EYD6zn, 0x2063725809e592dcd7f50ee21c57a0828c4259696e9949be4adb72d71ca70c29, 14898237, 4.01594, 2011, 2023-04-01 18:12:06, xcmpallet, reserve_transfer_assets
14898234-3, 14H51eJBEz5KEdFja7nXwo2hwvp6gaiZ8SQRArJoBKycuhR4, 0xe8f53a36c378ce0e74752ff3e504e70fee148221a050163f6708bffaa053f9f1, 14898234, 207.0, 2000, 2023-04-01 18:11:48, xcmpallet, reserve_transfer_assets
14898103-3, 12ijA49St9BCQriGKdnWUB1GkFsRt83xeRrNhBRXuAszVKbx, 0x503489d9c796d49b5f1bc9bf8da2e0edef4eaa9684b270be1a86c22217184f92, 14898103, 16.5256, 2012, 2023-04-01 17:58:42, xcmpallet, reserve_transfer_assets
14897546-2, 12gcwgucykDBBrJFuGxaE7nCsYvkmiinRHgGeiXJFM5qV933, 0xcac0de1143413d7d64c628b17a27f1b187d21f57a87dc74970366df89322ea7e, 14897546, 1.00081, 2030, 2023-04-01 17:02:30, xcmpallet, reserve_transfer_assets
14897428-2, 148pM5jhKdBrUdXwcBwnho9Bb3rahsXK6UYUFZHF5jhGSe2L, 0x02b43b30386c1c932391ea40b25c29792783dd19f3c9f5cf10417ba6fb39ca61, 14897428, 1.0, 2000, 2023-04-01 16:50:42, xcmpallet, reserve_transfer_assets
14897289-3, 16Y1B3kMxMDCutwSmJ8q7TBG7L5iu4E3WPUEsYvGVQazo363, 0x1deacc7cbde7cc8c717520c8b8415aa65ba5d189eb39fbedf7f0c31357f28743, 14897289, 4.75276, 2012, 2023-04-01 16:36:48, xcmpallet, reserve_transfer_assets
14897266-3, 15ASdUnCqaMU6HvxXfXxuFcSi5WwVM2De5WhRdHRRw2D9iyh, 0x8b216a33bce6f1118dba950d9f636957913b1e9971388f4604aa1eb495888a94, 14897266, 9.0, 2000, 2023-04-01 16:34:30, xcmpallet, reserve_transfer_assets
14897138-4, 16Sk5rdJvFwPfCQomTLWhTnKbJNYzszsXmWXxKszg1JqfsWC, 0xd8f76c1a330e9870725a5afbfd7a07b523276377bb8570c94def0a37947d7f0e, 14897138, 4.01602, 2011, 2023-04-01 16:21:42, xcmpallet, reserve_transfer_assets
14897078-2, 14ughUt5UgCPCqpj4YfMmFqCcfCpobUA7TDDc2c2pRigVf4, 0xb489c7a91175d658fa1614e314b8fddb67c7c99306ab87c46b849ad6444631ab, 14897078, 9.8, 2012, 2023-04-01 16:15:42, xcmpallet, reserve_transfer_assets
14897005-2, 13KKkUtWoTezYowx81b8oXzP2BTVYWbY5qFySZFrZDK1YA2q, 0x3230f12bc404aba4c93d166e3f9f76b78a325b7da7a7d895e2353270b5028edb, 14897005, 1.00081, 2030, 2023-04-01 16:08:24, xcmpallet, reserve_transfer_assets
14896893-2, 15rZ49z8AwT5FkK5dGiW9bQKRmLZCWWFfwqVpG3koeHxsVJx, 0x021d2b4cd4e7d58cc05231f9b7ed5991ddb6a7bd5ac5f836f30a782c80474163, 14896893, 3.0, 2012, 2023-04-01 15:57:12, xcmpallet, reserve_transfer_assets
14896846-3, 138osLCfdt5nkEijQvYwAyZqJDijZapvLpJUGowXPrk57uFm, 0x3ee856ca7a7283dc18a3eb7e5f527e6baea8404cb4774364563c54be2f91758b, 14896846, 200.0, 2004, 2023-04-01 15:52:30, xcmpallet, reserve_transfer_assets
14896629-4, 1eMLNPUTTAefXmxFTLKMwA8NBT4jMyjoQe1bghToDGQvYh4, 0x775f556cdb4df32369ed35e9c2e9b58f18ebac0963bbe68880e047a7d806866c, 14896629, 8.0, 2012, 2023-04-01 15:30:48, xcmpallet, reserve_transfer_assets
14896546-2, 1eMLNPUTTAefXmxFTLKMwA8NBT4jMyjoQe1bghToDGQvYh4, 0x3850a2dc319629b9d6449ff7cc8f60b171a0666e32b16bef4805d78c4e192978, 14896546, 7.0, 2000, 2023-04-01 15:22:30, xcmpallet, reserve_transfer_assets
14896496-2, 15PwgdXpXGGQEBRmev4nASpmqVXqF5tzVMrqwKb4EUwHKESo, 0x4e70daa310c3c9e8271280c83c0747cb4919d8788c4d0f8f009d7e17e55454eb, 14896496, 21.01404, 2000, 2023-04-01 15:17:30, xcmpallet, reserve_transfer_assets
14896433-2, 13VS4DwMko7mg5dmSUSXb93DwKJKb57w3pREELTAXuUDTksc, 0x080b1bcba2bfee93d9195bc32b6d71cac866fff5f7dccb616ba834c5c93158e4, 14896433, 1.01, 2012, 2023-04-01 15:11:12, xcmpallet, reserve_transfer_assets
14896409-2, 13VS4DwMko7mg5dmSUSXb93DwKJKb57w3pREELTAXuUDTksc, 0xd9f147214ec3e1531eff8150d622c27d609eb765fcd33c866d514aec7adc874c, 14896409, 1.85, 2012, 2023-04-01 15:08:48, xcmpallet, reserve_transfer_assets
14896227-2, 13VS4DwMko7mg5dmSUSXb93DwKJKb57w3pREELTAXuUDTksc, 0x9b5792359d71b79ab87a8d3dbe3cc4c5309dccdb1056e7af6224095336c268a9, 14896227, 2.0, 2000, 2023-04-01 14:50:36, xcmpallet, reserve_transfer_assets
14896128-3, 12Qr5gX2MfQ7H59gy9Zo9QK3g9gTzesc5tUao1n85Wa1JWcQ, 0xe3469f7a06278d4fae8d4433447aa13d778f02fd0928e43b2f55a99996e442fc, 14896128, 41.2439, 2012, 2023-04-01 14:40:42, xcmpallet, reserve_transfer_assets
14895787-4, 12Qr5gX2MfQ7H59gy9Zo9QK3g9gTzesc5tUao1n85Wa1JWcQ, 0x716325a8c59212fb032e6ec35f475ccf88b456446ccdd686ab481579c616976a, 14895787, 97.6, 2012, 2023-04-01 14:06:36, xcmpallet, reserve_transfer_assets
14895546-3, 14kxCjkrPEv54dCvEACJ6RgXXC6wFZ1Nbep1JN4rsvPkMwVo, 0xceff5f3382f5e725ce4bec167eb7514deb9b40a48b0d571160240a3359844dbc, 14895546, 381.43779, 2030, 2023-04-01 13:42:30, xcmpallet, reserve_transfer_assets
14894914-2, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0x5f9f2fbe00b8da69c85ff431376543dba045a997cb38e715f7cd51414b2fba12, 14894914, 100.0, 2000, 2023-04-01 12:39:18, xcmpallet, reserve_transfer_assets
14894901-2, 112439qDrECV8fZ5YWbQet4bx6RJJ2qfj7zX2gzyxYbr19q3, 0x0089d13364038e8ad3a530fb7175c5ead2f9542d66f1d6895058c82b2d4f1fdc, 14894901, 300.0, 2012, 2023-04-01 12:38:00, xcmpallet, reserve_transfer_assets
14894676-2, 16q5tFGGhpCuopnZHpfg5d5eNXSEiDunrFxz8YWz2mtqHJH, 0x8a12f5decb01e4a6af4695a003d99f2241a78a3836077b2ad739c0a11e24e13c, 14894676, 1.10081, 2030, 2023-04-01 12:15:30, xcmpallet, reserve_transfer_assets
14893911-2, 16AVVDYxmNEy1trYSDA6qh3u9vWcbmR92vjmSuRnQML2j77p, 0x9612e3c0378caf50ad4a4c2fe9c575917a59cd529778da494222aac2a236cdee, 14893911, 216.4, 2012, 2023-04-01 10:59:00, xcmpallet, reserve_transfer_assets
14893628-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0xbbdae05caa0eb3f5677fe7a7a79e4023de4a3046b74692cb2620a3ac9d87bab2, 14893628, 84.46996, 2012, 2023-04-01 10:30:42, xcmpallet, reserve_transfer_assets
14893315-2, 1nYj95GmvbqjGBPtARE7TaebTGCirTw8biiM2CrddfBrQuo, 0x944dd5c91b272c7cd7b4ec7846240d4b475da6d371bb60b213850b2306d959b4, 14893315, 26.125, 2000, 2023-04-01 09:59:24, xcmpallet, reserve_transfer_assets
14893287-2, 162nqHczW3xVKjGYo2iZNrCEkURAj7eMGEnYsUFFw7hNrGkU, 0x48e12d6fa4c7bf07c5f256ff1c129ce9c3bd94e31b8c36cbb5c59c23db3ab7f8, 14893287, 9.01573, 2011, 2023-04-01 09:56:36, xcmpallet, reserve_transfer_assets
14893129-2, 12pW684yD7TWeePVAZBfcWmNXrmoj9Px3DzT8ZrMkK9MTNJd, 0x8b923bdd5cb0f5432e742333a335edbd3ab4e2b74e47a350ce19cc2931f7e7e7, 14893129, 8.0, 2000, 2023-04-01 09:40:48, xcmpallet, reserve_transfer_assets
14892946-3, 16hh9uU1Bq8RNXJqtmacE7PzPUmV2WqQPjMWQXhMjWiXjpxW, 0x645ee048cfd697fea642bfb71e71da8f493b5b7ccf8fb4a6547bfdb1c72e9c8b, 14892946, 999.0, 2012, 2023-04-01 09:22:30, xcmpallet, reserve_transfer_assets
14892408-2, 13iR9jZSRYbDKLTqoqfSiEs4WzY87NUT8CHbfYrMtb88oefU, 0x33ba97c93c8fbc0037480de80395b68388f8c4dc826a0076c58de97e6d657488, 14892408, 2402.51055, 2000, 2023-04-01 08:28:24, xcmpallet, reserve_transfer_assets
14891980-3, 15B1cR92pb8JCspDVUJCoy4Jdcje2iZX5RvUFbQQBHHyuUW1, 0x7d97fa9ce2d0c6a7bfd9292f193514b116b9df4d9511c4618602a190af0a9096, 14891980, 10.0, 2030, 2023-04-01 07:45:30, xcmpallet, reserve_transfer_assets
14891610-2, 13Jqs6S7tcXqxzQFSSXHDLPUiei3DZnThTxK4sk3xqec9Paj, 0x18bdbf9f64942b78a6415b2d99a26a1090c884276109ea95b62401342f2fc258, 14891610, 98.95742, 2000, 2023-04-01 07:08:30, xcmpallet, reserve_transfer_assets
14891496-2, 15fuaNa1YEitP9qWmKGCSciJCjV3rYzGGLAR3CixU2eKE3fb, 0x903aaeee92f106edf11aad45d3cbf28c7c03606917c4d61db3f9da630874bf42, 14891496, 32.00081, 2030, 2023-04-01 06:57:06, xcmpallet, reserve_transfer_assets
14891203-2, 16AVVDYxmNEy1trYSDA6qh3u9vWcbmR92vjmSuRnQML2j77p, 0xb4b1f30bf89bd2f93e98b78f77b802e6c1dc9c12049312a83804352b9d23d238, 14891203, 217.065, 2012, 2023-04-01 06:27:48, xcmpallet, reserve_transfer_assets
14891063-4, 15vrUYxq752ricTPH7cPbHRz6Gc56DqoAgpj5xyybWCWbP7T, 0xb1461f3c22b89bbffa6ee445d2225b7a1ee2441249a980ec3bc2493fc022cd3b, 14891063, 1.60924, 2000, 2023-04-01 06:13:48, xcmpallet, reserve_transfer_assets
14891021-4, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0x6b91586ae9ec43d7acd874e6caf8a9c750e565ae862dce947569120f54a20abd, 14891021, 100.0, 2000, 2023-04-01 06:09:30, xcmpallet, reserve_transfer_assets
14891019-3, 15DrhZeo7PXQrSeT75TKuFKXjGsEuYyNLAZi8usZHLo7vAVN, 0x6d7b87fceaf9644af05607b11c7ca05be5c16300926de5a920ab21d7de71a29b, 14891019, 100.0, 2000, 2023-04-01 06:09:18, xcmpallet, reserve_transfer_assets
14891009-2, 16AVVDYxmNEy1trYSDA6qh3u9vWcbmR92vjmSuRnQML2j77p, 0x7cc56aa03490fba34ffbbf37d3555003c73dec18cf5c0520cd3fce8231c7a594, 14891009, 217.975, 2012, 2023-04-01 06:08:18, xcmpallet, reserve_transfer_assets
14890899-3, 1Z7evtgFmyaCnJ85o1eKrJpEg4KixVx96yR6PdbUPBjrqxe, 0xb672c5eaa6dfe167d0883acd7bcaaed4065ee510ba492d36655cce31444cede1, 14890899, 1.0, 2006, 2023-04-01 05:57:18, xcmpallet, reserve_transfer_assets
14890876-3, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0x5f1eaae1a8185b32952b34221f397f1aa5ff284b132f5826403220105f331ab9, 14890876, 84.81038, 2012, 2023-04-01 05:55:00, xcmpallet, reserve_transfer_assets
14890799-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0xbb9f9a98466d17a6131cd92f0338592a5e8d53b25cc24b54d4ab70b9c284d1d3, 14890799, 84.825, 2012, 2023-04-01 05:47:18, xcmpallet, reserve_transfer_assets
14890728-3, 1mmPUXSK3SrccrgDZm54zKGEm9whb1EQuCkJhJAzHPfjS7V, 0x830a22843f0af89b380d75385ef3d2a70bd09000d11b2f7418449ce1648e08ca, 14890728, 0.0307, 2012, 2023-04-01 05:40:12, xcmpallet, reserve_transfer_assets
14890584-3, 16dXqarzaKgBScwowv2LBa1F1fUN2jWcKLtEjhT6axjXUgA, 0x6e4adb3af40b44f6126fc468a8b7d1e66cd3ae5b57e846e33315f9b9095f255e, 14890584, 0.05, 2012, 2023-04-01 05:25:48, xcmpallet, reserve_transfer_assets
14890484-4, 162cggtZYNrRnhCirmYPCbgW1jpFWyXA5ybBuUkirthXW8kf, 0x45ab92d798a8aa6816a74c5384f8bd5820dc7cde9d2d1c35f79ada9a47f1c908, 14890484, 23.14, 2004, 2023-04-01 05:15:48, xcmpallet, reserve_transfer_assets
14890479-2, 14faRXAxfCCq6VBzPnBSUEpYDZAtSBejMCjxW7qXF3VczsHm, 0xd15bc066ed9960226afe17329e8773165c061b364761caffc9430c112e38bece, 14890479, 69.32742, 2000, 2023-04-01 05:15:18, xcmpallet, reserve_transfer_assets
14890404-2, 15G8huZ3UEgkNtJQLkSe4B7g8CuemM96xdtCuJS4XhXEKEmd, 0x190da0159ecf297981ba859b43302adae7e9e4c515594ad1b4fdb8a8d64d8734, 14890404, 13.75197, 2000, 2023-04-01 05:07:48, xcmpallet, reserve_transfer_assets
14890216-2, 16Fje2NHZtHN2siNuRcJyjdZqV2HuzzuK6mmV2TAdn6HiFLY, 0x91d0719d0fee207871b1f45113758e346f7b0f0bcc155aec1e5126d80d1f7e89, 14890216, 35.00081, 2030, 2023-04-01 04:49:00, xcmpallet, reserve_transfer_assets
14890123-2, 16dXqarzaKgBScwowv2LBa1F1fUN2jWcKLtEjhT6axjXUgA, 0x3fee8dffa915c2adcdedb8add8b4c9a5d217c635b939ba9df108866fcd33dcd3, 14890123, 0.10081, 2030, 2023-04-01 04:39:42, xcmpallet, reserve_transfer_assets
14890100-3, 14pY2CLBZmdfX5rYS2bWokSzwKeTgADKBVfHxymXpZTnJht5, 0x6caafaf2709e7fb9dcfcdc4258520ff53ccc96076e06d096bd18f7ed9e95b14a, 14890100, 157.97947, 2012, 2023-04-01 04:37:24, xcmpallet, reserve_transfer_assets
14890088-2, 15wBiJ2ckNgVscjat5MjH34o5S1vskLYwYVsxxgLMqrc5peA, 0x82dab5a48fe6450da5f31ec8ed2c133ba418332040aceaef093c71058e9c125f, 14890088, 42.6281, 2012, 2023-04-01 04:36:12, xcmpallet, reserve_transfer_assets
14889970-2, 124T78agHCwWAUwkKVmP1RRfSC86GTyAF5xqBs6oUiTBTCXn, 0xb93535950dea68dce18c66da573993ed2e0ffe395ced2f29f5c8009da72b11ac, 14889970, 76.84032, 2012, 2023-04-01 04:24:24, xcmpallet, reserve_transfer_assets
14889937-2, 1KwmbL6tTfmA8r9M6krWZtBk4K9Jif3Y3m9ZAjqgi6Bncfc, 0x49e82588bd35d7310cafa41ad5497c49388600d91ddfc849db1012502a74c435, 14889937, 13.02936, 2012, 2023-04-01 04:21:06, xcmpallet, reserve_transfer_assets
14889892-2, 162KUJisQk3H3fNLpNM1J4sJ5m2UawH2WhnPx4ewcQizdVH5, 0x38b6bca46f4c9f801683d3847dcc1606cf784f4267fc7d28a07ff02c4b2cf164, 14889892, 9.4, 2012, 2023-04-01 04:16:36, xcmpallet, reserve_transfer_assets
14889550-2, 16dXqarzaKgBScwowv2LBa1F1fUN2jWcKLtEjhT6axjXUgA, 0x83aba49bd710f1d2b42e72d9e7335cecaf3d5ba57575f43670caee617bfca355, 14889550, 0.20081, 2030, 2023-04-01 03:42:24, xcmpallet, reserve_transfer_assets
14889166-2, 15kw6VWTVUyMDzUspQxfLB1zxqZKf27CX1pLetcVBP1FCHYQ, 0x15d6640558be2dbfe6e5ac03894ff9ce9973e5f586f3e58794a59b58d99d9798, 14889166, 2.0, 2006, 2023-04-01 03:04:00, xcmpallet, reserve_transfer_assets
