14943687-3, 14oo1Z1xjY2Xg6YTyLQLz5K4EVYuzGHLHxwTfrnHNRVk8qRi, 0x4110d788bc8bf7194a322ab57dd97b628d92d94216cd181f1f2215ecad1ef9d5, 14943687, 0, 2023-04-04 21:58:12, democracy, vote
14942531-2, 15yrTnVTnhMEz2oWHC1SnqmiPXk8mmfynz7MSXzTJYME3WHu, 0x7b6d98f5ef5b86e26b84c947fb700c84159948ed5a0dd084cc0ba6715235fffb, 14942531, 0, 2023-04-04 20:02:36, democracy, vote
14940440-4, 155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d, 0x830a10e476f0550f926dc9f9f1d16d40f9807a555c0df337701de24a587b644e, 14940440, 0, 2023-04-04 16:33:06, democracy, vote
14938802-2, 15dTancD5HTn3Zn5RcgojF76znNu9HrpTtBTBGc5oPBDfxBy, 0x15ea4f8643d9b4296c01587baad551e90e555cf63ddd4edbeec9dfb2db9228ff, 14938802, 0, 2023-04-04 13:49:18, democracy, vote
14938551-2, 15uQGaX9w2bbH8zcfR32cRN22xgfwwCR17bDftK2YeKPUyGk, 0x51904fd31b3165d3e00e6e33e598793c6ee96af4c9cb93c780f120132bbee914, 14938551, 0, 2023-04-04 13:24:12, democracy, vote
14937883-2, 12vBDAmaRg6cBopSKZZiTU6RDwr7UW5GmWds6eBrdRkV6cBX, 0x6762b6c4cad23b9b13c84b82cafb3161ff844be7eb195f80c17265c4ca36554e, 14937883, 0, 2023-04-04 12:17:24, democracy, vote
14937721-2, 16fmwCAoqJdVtmj7wGEGuFa24WT7x974ZEQsa42x8k9uop1o, 0x3b55a037fa481b7e7c393e401baabebf5eada6ca0aaa600839c93beef6f602fd, 14937721, 0, 2023-04-04 12:01:12, democracy, vote
14935912-4, 1gNT7txLTp4MNFkH75iwB5KgqSPCeZ8nnxR9eKxidRES45e, 0x5f042a0221451f1c4d1c13b5125c3105526ba2f82fa2c82c724f5c551b9bffde, 14935912, 0, 2023-04-04 09:00:18, democracy, vote
14935046-2, 14uiAHfnt3KbSeVxUtLCKL8GqZWwYwCMDMKpgBsXmGTkemC9, 0xb702d1121c9e5ca9ce6eedc8787ffdbfe7d063a692e32d69c5123a3788cdc9bb, 14935046, 0, 2023-04-04 07:33:42, democracy, vote
14934609-2, 131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T, 0x744761cc79d179c53e6a4dfd4b04e2c15fb4a376ae3bd8cb9d678addf773ccc3, 14934609, 0, 2023-04-04 06:50:00, democracy, vote
14934354-2, 12cWBTYcw1v1idFbhZWHz9KeDz7YW2C11dTcLuLvkLLYBhq1, 0x4197f7facf74210d74ea051132ab3c2bfb79e29b4be5abd9d32a8ea600ba9453, 14934354, 0, 2023-04-04 06:24:30, democracy, vote
