14942036-2, 1FM62zPj1SDj3od7AQ9YtocZdN9Rq7QzFa5XwD69G9ZpWDN, 0xf167e95ec5aa90b9ccb49b932bd412a51c716e5a1c524456187785d631f73ef4, 14942036, 488.2141, 2023-04-04 19:13:06, staking, bond
14941037-3, 16MRHywcPNRuofU4bHUqZEAxvPvs75XhzXJwkoHs3iinwK33, 0x1345e65de90858a4ac7ada86d4453d71af25ab6e5a7a28fb9883be26ae8a7470, 14941037, 2446.8925, 2023-04-04 17:32:48, staking, bond
14940743-2, 128YVY661YFGqwScgHeW9RpemYU6YuuA3qM2krARB352dAts, 0xf0def2c26e5c0b05ff90ba2c2413b871db86ba152242b7cef7e5f7a4a5df9c69, 14940743, 402.39518, 2023-04-04 17:03:24, staking, bond
14940695-2, 13hkUCXx22RByewrvTKmPPosBYuLRcmTkVK5krhTnJ5Jqu2U, 0xb4252a3856bd159e2738b593869888111b46fe7400c20bd4712ca0e0f49e0310, 14940695, 4.0, 2023-04-04 16:58:36, staking, bond
14940168-3, 1swf1VSYgiuupWKAgjAeLxjBSMJKeXwGdxdcPnTL3XdV7Dg, 0x91dad0e9140e028c156ac20aaba969db25ed259730892408d1150136bc01fa6c, 14940168, 1553.92002, 2023-04-04 16:05:54, staking, bond
14939744-4, 15x1gKGjYQQi42D4ER8Wvn4gGDQn8FBTqU9faBum27CCsLQY, 0x5743cfbb5313f2f5e53098ccddfaef3ed38bc92eec85e563cf03bf01910318c8, 14939744, 100.0, 2023-04-04 15:23:30, staking, bond
14939400-2, 15U8DAkGgrWQntvZp2Ht9in35ddPtW1ko5fB6FvtEAEj734r, 0xb8b6e7ef8ad7dd739903c026cb3a294035f761b3c491be3bc9718d8823a6bee0, 14939400, 1150.0, 2023-04-04 14:49:06, staking, bond
14939258-2, 132Rk3jE1EhjcNmGYcZyvmJEDuJgKY44Q1gPDbYaP9qBLzCq, 0x6d601d90153fd0e88849248c50e1c486533573be35b9fc695bed16c874ad2836, 14939258, 702.63044, 2023-04-04 14:34:54, staking, bond
14938577-2, 13N5QCwF2EiQqKLCXacWBtSVJYNNmge6TZUqTshLHrfARr3x, 0xd7cd4ab0808878a95e917f13e2582ef979ce3b75c1a61571b457a7b048371d24, 14938577, 265.0, 2023-04-04 13:26:48, staking, bond
14938533-2, 15Dbh5jreENAMhmWPZkjPdM5jhZeDYjyE1EGkgXcoMdKAEvg, 0x57dad48210b7f7e7f573b7fd9b6c87223ea490e542f36a60d90ad2d3872a381d, 14938533, 400.83716, 2023-04-04 13:22:24, staking, bond
14937922-2, 14sA9JPaYU2q3piCZK7rLNnEJW12vzKh15gcp7DjLoQMB7iy, 0x90867a7e82fe1bbdda8054f31c3cd0cbe9c5dabdd0ba17b37a2dc513eb21263e, 14937922, 774.10246, 2023-04-04 12:21:18, staking, bond
14937454-3, 14hN1xrdkn7DfmME8zXbzKweXw83xcdahBeWyAwRH7xDLoem, 0x33c49411c87d3361294f1742f129b2e8f4b6ce4eb991e48a7722067daee7a893, 14937454, 1200.0, 2023-04-04 11:34:30, staking, bond
14936753-2, 14Lxoa1fYmMN6R86WDmB7koS2pR8eRn7Sfy3V8PCJtwpa4m9, 0x1e92f46aa01af00ff5782b693d23a568ffc3fa3685911d5a8e7e1be7742e2aa6, 14936753, 255.0, 2023-04-04 10:24:24, staking, bond
14936682-2, 14XCh6PHihoK2sCKgjdWfvBreWR2M4mcEpqrTX4FGcAVjSiZ, 0x0af8c77d4e64e17f15f81d8e0bec7e6c1499d46cc96fced2da0ef100c226b197, 14936682, 254.8788, 2023-04-04 10:17:18, staking, bond
14936160-2, 14nw39aZWsksSWxb3uUQZoWymSYqk8jPtcJgZnpG7pUbybhW, 0x505286c68af0977cedeb9817050fcfa0f5d56bc736ab73f188dc0a76697171f5, 14936160, 4311.72732, 2023-04-04 09:25:06, staking, bond
14935215-2, 1G5vsH564sQprTwZi3Ad5M3Pso49pcWsAnRtVFSR9BF5NT2, 0xa991f2d76116143f29d7a189da322786497608c494bc2338e9aea9c148aa037e, 14935215, 500.0, 2023-04-04 07:50:36, staking, bond
14934997-3, 128y4MRsNuSoAUk9YbfPne6xzE9nChPngyVaXocV8ygFRE25, 0x83c939090b48e764c80fa15102602169ddb3ca95735762a8d942d6f661488c77, 14934997, 4040.0, 2023-04-04 07:28:48, staking, bond
14934565-2, 13JtQYqFdUbdauxXVgTiftMdCg1yZaYPZwC4o5fCaHcMQAF7, 0xcbe6092d51121166da89c833fa59d60a872f4216c6c15bd4164a838f8d847c51, 14934565, 259.15504, 2023-04-04 06:45:36, staking, bond
