17217366-2, JDemyHsbMkejE6NDDLuf3qcGNKpompX1T3voURjoB569jDa, 0xd267420f25ef332a92492fa591279ac5e76be138e72e8606be13b0c6a96170a8, 17217366, 29.0, 2023-03-27 14:46:00, staking, bond
17215467-4, GFR5jjfubYw3JLWdv2hrozk5Ga4Mq3E1y5MH4eHNAFc7gzF, 0x58eff68387c3ac80a8e26db6e0a7701641a53a83a85e2d369271bb5bc12a4367, 17215467, 522.96686, 2023-03-27 11:35:06, staking, bond
17214048-2, EvTsK8Uq6RV95Fymtt7VCAnx2h91WH1dfg8tnUooJvUPgqm, 0x145f15ec66ead268e461b4b895ddf41df56d1d5443fea6b179848999c39a86ca, 17214048, 10.71096, 2023-03-27 09:12:36, staking, bond
17206523-2, DEHK1kZNej4mRzoC19omD4YvhgvZepsQWX16iNLfx5EzDJT, 0xfec3ebcef81eb1e73fdc06210c131ea04d90eb6c6cfb02b51c295169de3589ee, 17206523, 10.0, 2023-03-26 20:32:30, staking, bond
17206518-2, GZTju5Z1jsoR7tguTD5cVPQFXNJ7wrmNuMRYoWhcv9m62wQ, 0x305ff4ac7dc8b93b1601fe903a46af4cc9f9f4401e586254d84b60cbb78627c6, 17206518, 10.0, 2023-03-26 20:32:00, staking, bond
17205732-2, Eez1GuV6gtZT8m9J6VEJ2vqmt2qQ5khJoEMR3wpncjnuWzk, 0xea990932586a4f48973497513162b018bdee53ce24c6afac5e45084d9885deb9, 17205732, 40.0, 2023-03-26 19:12:24, staking, bond
17197690-3, FmoBVgzPtoeVU16gAg26FAPFuMDrE9D3kiQq8VVan9dxyQE, 0xf6bcaaaf6e8e111f8d384159933f267d71b9811e7106bbc9b21a74263b9bacaa, 17197690, 39.0, 2023-03-26 05:42:12, staking, bond
17196846-2, EzTN8wv7wR1NWfHeWXQMw4d2voXuz8gHN6Lms99VHVQQJvy, 0x6418f47d8591f1afb9e7eaa1dbe6d7e12a108458a8d8f5f8a7c7e3a89e29db5d, 17196846, 0.9, 2023-03-26 04:17:12, staking, bond
17181606-4, GNbCYYdAzAveBM1Rpr3CsFGhUUBx69LnfaNayp62PtWZLYp, 0x1e319cedeecf03343dd2500b4498a95a8f5ed917503da2418549834758a97253, 17181606, 53.0, 2023-03-25 02:40:42, staking, bond
17181249-4, DwAMFiMFjRA8e9NgtRUQQ2N9r9SDRMzjhrBwKyw4T12dXmP, 0xbfdebf3c731f10991d247a45ad291ba2f1b1be4deecd422aa3185b2b543eb56a, 17181249, 29.38652, 2023-03-25 02:04:48, staking, bond
17180347-3, J6K1vA6ynGo2GrotGpP5ocHKr82JFTv7NUnzJcoRfTcCn8T, 0x3dffe6876bc31d3f51dcfe1b7c5738b0b379690924211de2592c35ff23d31377, 17180347, 10.0, 2023-03-25 00:34:18, staking, bond
17178714-7, Ff6vUSAEHy4K4BTjVdr6hqcgzWyqLnNAuUCoHFVmbM3L1RX, 0x8fbdacb284460e1d5942c6d5e98062988e4498bf25ea2ccbdf361a6c2612e451, 17178714, 10.0, 2023-03-24 21:50:24, staking, bond
17153196-113, Cy9R9w9WFgwfs6s3bZy2tPc3KTU3MkmXmV6VcSH8J2zmcav, 0xc55b1ae208fcd15bbf52c67a003b8f5dc27ac4923beb215aa413791b0e134f83, 17153196, 38000.0, 2023-03-23 03:10:06, staking, bond
17152557-3, GXNQDB52HeFUpgbcCBMbWsbMmG4ntu9JNXXx34mADjTe4wV, 0xb0e4efc9b3eadd03b5fd07050116c99d928d36586998886066d542363f683a24, 17152557, 10.0, 2023-03-23 02:06:12, staking, bond
17151517-2, DAf8zfr2y2Z5kkUq3HHB267YTrBzPsD4xbhLjy5Mg4NHD5N, 0x10cbe01d264ca238c1d748d48f8b5f0c3eceea27e57a0f5a80694c9e26e8f73b, 17151517, 1.0, 2023-03-23 00:21:54, staking, bond
17139299-6, Fc18gSQWnJRnrNgLrcNJByAggXZ37qt5RmBDjgenJ3mfyJq, 0x515a30674cba0a3d7e41d472077fad7a437f080da0d17d341235b1a192a24c70, 17139299, 5000.0, 2023-03-22 03:58:54, staking, bond
17139280-6, HnQYCwJn4koydRKFWJ6MEA6hYESf8nMD5hudqzUUfkkwBAy, 0xbfac73e097521ecf1febedd8eb3c8b1a3e9cd6ccad80c581dd33b1bbd9ec123c, 17139280, 5000.0, 2023-03-22 03:57:00, staking, bond
17139260-8, Ck6PdHfUMFHpLPwReDceBjkNEaLeBCT1gkwQTZxCJermTKa, 0xb4af781585a9aca847512eaff0a4fa5b4004201cc11c6f32876656d2f6ca2f84, 17139260, 5000.0, 2023-03-22 03:55:00, staking, bond
17139240-6, DWqrzxJPpvaAAXo4z6TZJd86KGP2hxGBwLCjQs7CVpkNY3N, 0xeda6e9423964fdfd26951b8db55e0410298fe03db2002186bff2f65dcc99bdbf, 17139240, 3000.0, 2023-03-22 03:53:00, staking, bond
17139216-6, E2SDHENsnvs3VoUAaHD7ENJ7XYZZWdPnBiNAcJy7RSeiojv, 0x8597572a7eb62c60544e9cf9ec82ba9bc7b0a761d13b9aa8e9d495a985375472, 17139216, 2000.0, 2023-03-22 03:50:36, staking, bond
17139134-4, Gk4GhJNCTHzkwAYeziT6kTVEDfiJEVZuneNg5sNJC7SyJqg, 0x6141f6756df41235d0bf409eb1b0bb7d062b6b409fae672ec41401766b12af26, 17139134, 2000.0, 2023-03-22 03:42:24, staking, bond
