3929772-4, 0x37006dd9d226425c901c5d7f9434c2fb8ac3f533, 0xd22ef1896977d34d20f30018be484d0725eb628a4979ef62ea038fa35ddfd59d, 3929772, 20.0, 2023-03-30 19:38:42, balances, transfer_keep_alive
3929049-4, 0xa6f71753f6fc8ea396c5f87085f8db51dd740f18, 0x0fd724aa9a3b4bb17dbe750396a1f3ea6802e7286fd5e1dca4380918fd32d2bb, 3929049, 10.0, 2023-03-30 17:09:24, balances, transfer_keep_alive
3924677-4, 0x9437afd55628f8eccc27d24df01f7a6316c1877a, 0x9ea50543a46288298564e464c21bdccd819f757b300f0fdf8b404ee883804aad, 3924677, 28.8, 2023-03-30 02:08:06, balances, transfer_keep_alive
3923580-4, 0x59fe59853fd70fb7991585165165a0fd004bb98e, 0x8661e446bc73bf3c6dd7864a07b85ebfe14b8b5de7a901703dd8c08e7257921b, 3923580, 10.1, 2023-03-29 22:23:12, balances, transfer_keep_alive
3922509-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0x3b4d628b3c0d71637df15635d59f9ee4134a2d4c9a18a18d3449d143955a7ac3, 3922509, 0.85, 2023-03-29 18:43:48, balances, transfer_keep_alive
3919105-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0x0cbbc05625d01a027b751827d0e3c6af8bd297cd12f59bbb4a9527f836e50f53, 3919105, 7.5, 2023-03-29 07:04:18, balances, transfer_keep_alive
3917521-4, 0x3efc795c754c9d7c89a4a36ae6bddea610f49a23, 0x39f4353433e786d39606049bac9ec0a77d0a89b7a0d4a14ed83991114d7cff3a, 3917521, 16.3, 2023-03-29 01:40:36, balances, transfer_keep_alive
3917013-4, 0x832facd95a6b9e46459d79e6b56742a25224564b, 0xf3f398bce195404c041070143cc1950cb715445c1d1e33c67e1e51b0594752f2, 3917013, 0.01, 2023-03-28 23:55:42, balances, transfer_keep_alive
3916991-4, 0x9437afd55628f8eccc27d24df01f7a6316c1877a, 0x3c2ef8aeadb8c6b31951eeb869981ae35357c2393f34a2570a5afa594e72f642, 3916991, 25.0, 2023-03-28 23:51:12, balances, transfer_keep_alive
3916973-4, 0x9437afd55628f8eccc27d24df01f7a6316c1877a, 0x4bb610027aefeb32b25a3beb289fc7553161f9b3445b49ad269c7d723e20e90c, 3916973, 20.0, 2023-03-28 23:47:30, balances, transfer_keep_alive
