14935016-2, 14Q16GqRPWE5rHDCSbhkztpHM7FXi5U5MY9FTHNJbEZum5Au, 0x79bb80971924889b2ded9e0e5b2ff719554d070a6d4e72faf8ff36d0eb4764c3, 14935016, 4.27199, 2023-04-04 07:30:42, balances, transfer_keep_alive
14935013-2, 144HGaYrSdK3543bi26vT6Rd8Bg7pLPMipJNr2WLc3NuHgD2, 0xc5ace79af0edc145a71682c82ccefb297dfb957a5dfe7bb73e2b2aff4618cda9, 14935013, 232.767, 2023-04-04 07:30:24, balances, transfer_keep_alive
14935005-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x0a597eb86712a6d84ce85bc5b444af5532e57febb973fe5480d9d463474c9806, 14935005, 77.79339, 2023-04-04 07:29:36, balances, transfer_keep_alive
14934997-2, 15PK2Pq2pMqGuttVWinr7C3erXpL4pq64RDvT2SjmSz4LBt, 0xcc72083e13d5b37d523ee429f633136de4e82850f3fccefc276abb6fc2a65efb, 14934997, 2.0715, 2023-04-04 07:28:48, balances, transfer_keep_alive
14934948-2, 12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz, 0x95f64c6e6a69fb5243b62895f834aca13e99addaa0f44b2344d500d51a53f6cc, 14934948, 92.62537, 2023-04-04 07:23:54, balances, transfer_keep_alive
14934947-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x1261cd53942a582c45f74b533abe06b3d23289130f618e686cb651f444832f52, 14934947, 1498.5, 2023-04-04 07:23:48, balances, transfer_keep_alive
14934914-2, 12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz, 0xe091b8fdbea6f35f4b6e6a436c860f23a89d657c9bc9e63d8d5dd4c4bbcf39e4, 14934914, 419.48, 2023-04-04 07:20:30, balances, transfer_keep_alive
14934913-2, 16VcG81Lzq6xxMrito7PGK6VgU5K1EXTEA9SqRDoik3n5eJ1, 0x440ba44e656de9b439f5e29223c0f9c7eed4ae4dc837fee83df1953cae44bff1, 14934913, 110.0, 2023-04-04 07:20:24, balances, transfer_keep_alive
14934896-2, 17CVTywBCPBsRYcmJUiHUV2ppVNqTy5mofuYKcBKEsz4hbK, 0xc0ea5a1a88d9e3acff069d1738cca40bc28d1b4b517863af7e13dfaf29a58d2b, 14934896, 999.98416, 2023-04-04 07:18:42, balances, transfer_keep_alive
14934888-2, 1KGRkqtKRg6ubngonrkRy2yjGYqEHRZWVXuJdLHv2q5k3fp, 0xafbe2c855635c7cda2a16a395d24a48b897b22428cdb71af2c9f14dc3a5f2ca6, 14934888, 5.436, 2023-04-04 07:17:54, balances, transfer_keep_alive
14934884-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x57efe50f8d50a7d12abdec3a6975941339df89108873f31de89c16e3a22b872f, 14934884, 3.22617, 2023-04-04 07:17:30, balances, transfer_keep_alive
14934881-2, 16QKs9dRBu59TKHA4jKDdKHcPtH4SEZopAGpw3XFgtQeJxpj, 0x54c073195facb5e3c505e81aa698c43851195ef38fa1b5ba318fbf8500863cc4, 14934881, 0.5, 2023-04-04 07:17:12, balances, transfer_keep_alive
