Date,Active Account,New Account
2022-10-02,568,36
2022-10-03,572,44
2022-10-04,579,36
2022-10-05,587,47
2022-10-06,635,33
2022-10-07,548,31
2022-10-08,520,29
2022-10-09,562,19
2022-10-10,558,29
2022-10-11,583,29
2022-10-12,661,51
2022-10-13,709,31
2022-10-14,676,38
2022-10-15,711,48
2022-10-16,677,48
2022-10-17,655,36
2022-10-18,681,26
2022-10-19,633,34
2022-10-20,604,49
2022-10-21,592,32
2022-10-22,542,29
2022-10-23,643,51
2022-10-24,635,26
2022-10-25,655,73
2022-10-26,630,36
2022-10-27,590,27
2022-10-28,527,19
2022-10-29,608,28
2022-10-30,570,33
2022-10-31,684,35
2022-11-01,651,38
2022-11-02,607,39
2022-11-03,609,41
2022-11-04,814,84
2022-11-05,726,25
2022-11-06,653,31
2022-11-07,612,25
2022-11-08,629,22
2022-11-09,703,27
2022-11-10,695,31
2022-11-11,636,40
2022-11-12,605,34
2022-11-13,661,30
2022-11-14,647,46
2022-11-15,554,32
2022-11-16,473,29
2022-11-17,579,29
2022-11-18,515,21
2022-11-19,416,8
2022-11-20,439,20
2022-11-21,472,11
2022-11-22,503,14
2022-11-23,521,11
2022-11-24,510,14
2022-11-25,473,23
2022-11-26,762,16
2022-11-27,541,16
2022-11-28,451,22
2022-11-29,391,17
2022-11-30,699,12
2022-12-01,492,9
2022-12-02,514,8
2022-12-03,479,12
2022-12-04,490,6
2022-12-05,534,17
2022-12-06,509,18
2022-12-07,459,17
2022-12-08,459,18
2022-12-09,441,10
2022-12-10,392,5
2022-12-11,476,13
2022-12-12,541,36
2022-12-13,560,30
2022-12-14,478,17
2022-12-15,476,21
2022-12-16,491,10
2022-12-17,498,17
2022-12-18,469,14
2022-12-19,488,25
2022-12-20,502,13
2022-12-21,417,8
2022-12-22,438,8
2022-12-23,426,15
2022-12-24,428,15
2022-12-25,390,19
2022-12-26,442,13
2022-12-27,415,9
2022-12-28,420,12
2022-12-29,447,19
2022-12-30,391,10
2022-12-31,379,9
2023-01-01,372,8
2023-01-02,473,9
2023-01-03,462,10
2023-01-04,421,9
2023-01-05,401,20
2023-01-06,480,21
2023-01-07,422,19
2023-01-08,474,16
2023-01-09,519,17
2023-01-10,435,15
2023-01-11,449,20
2023-01-12,529,34
2023-01-13,527,42
2023-01-14,625,22
2023-01-15,459,19
2023-01-16,411,14
2023-01-17,588,9
2023-01-18,449,19
2023-01-19,383,9
2023-01-20,434,11
2023-01-21,488,14
2023-01-22,435,14
2023-01-23,484,6
2023-01-24,487,20
2023-01-25,440,24
2023-01-26,429,17
2023-01-27,437,20
2023-01-28,438,15
2023-01-29,490,17
2023-01-30,435,15
2023-01-31,325,13
2023-02-01,342,15
2023-02-02,559,19
2023-02-03,476,6
2023-02-04,441,18
2023-02-05,424,9
2023-02-06,436,11
2023-02-07,485,15
2023-02-08,437,15
2023-02-09,482,8
2023-02-10,392,11
2023-02-11,341,12
2023-02-12,371,13
2023-02-13,376,13
2023-02-14,374,14
2023-02-15,379,9
2023-02-16,404,19
2023-02-17,415,15
2023-02-18,401,10
2023-02-19,439,17
2023-02-20,390,11
2023-02-21,348,8
2023-02-22,324,14
2023-02-23,291,16
2023-02-24,284,7
2023-02-25,296,11
2023-02-26,309,8
2023-02-27,290,7
2023-02-28,261,9
2023-03-01,327,11
2023-03-02,272,12
2023-03-03,286,7
2023-03-04,284,6
2023-03-05,340,11
2023-03-06,309,11
2023-03-07,278,12
2023-03-08,267,5
2023-03-09,332,10
2023-03-10,315,9
2023-03-11,270,5
2023-03-12,271,6
2023-03-13,292,6
2023-03-14,289,8
2023-03-15,219,4
2023-03-16,259,18
2023-03-17,266,3
2023-03-18,297,8
2023-03-19,273,3
2023-03-20,346,7
2023-03-21,267,7
2023-03-22,278,8
2023-03-23,269,9
2023-03-24,227,11
2023-03-25,263,6
2023-03-26,326,13
2023-03-27,274,7
2023-03-28,238,13
2023-03-29,278,7
2023-03-30,271,11
2023-03-31,271,7
2023-04-01,260,6
2023-04-02,291,5
2023-04-03,242,9
2023-04-04,254,9
2023-04-05,249,11
